timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], temperature.gpu
2025/06/13 00:28:41.220, 0, Tesla V100S-PCIE-32GB, 1 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:42.220, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:43.221, 0, Tesla V100S-PCIE-32GB, 11 %, 1 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:44.221, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:45.222, 0, Tesla V100S-PCIE-32GB, 4 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:46.223, 0, Tesla V100S-PCIE-32GB, 4 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:47.223, 0, Tesla V100S-PCIE-32GB, 4 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:48.224, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:49.224, 0, Tesla V100S-PCIE-32GB, 8 %, 1 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:50.224, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:51.225, 0, Tesla V100S-PCIE-32GB, 7 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:52.225, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:53.226, 0, Tesla V100S-PCIE-32GB, 8 %, 1 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:54.226, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:55.227, 0, Tesla V100S-PCIE-32GB, 2 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:56.227, 0, Tesla V100S-PCIE-32GB, 11 %, 1 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:57.228, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:58.228, 0, Tesla V100S-PCIE-32GB, 10 %, 1 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:28:59.229, 0, Tesla V100S-PCIE-32GB, 8 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:00.229, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:01.230, 0, Tesla V100S-PCIE-32GB, 1 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:02.230, 0, Tesla V100S-PCIE-32GB, 12 %, 1 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:03.231, 0, Tesla V100S-PCIE-32GB, 4 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:04.231, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:05.232, 0, Tesla V100S-PCIE-32GB, 9 %, 1 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:06.232, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:07.233, 0, Tesla V100S-PCIE-32GB, 10 %, 1 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:08.233, 0, Tesla V100S-PCIE-32GB, 7 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:09.234, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:10.234, 0, Tesla V100S-PCIE-32GB, 4 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:11.235, 0, Tesla V100S-PCIE-32GB, 10 %, 1 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:12.235, 0, Tesla V100S-PCIE-32GB, 3 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:13.236, 0, Tesla V100S-PCIE-32GB, 9 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:14.236, 0, Tesla V100S-PCIE-32GB, 7 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:15.237, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:16.237, 0, Tesla V100S-PCIE-32GB, 11 %, 1 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:17.238, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:18.238, 0, Tesla V100S-PCIE-32GB, 9 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:19.239, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:20.239, 0, Tesla V100S-PCIE-32GB, 3 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:21.240, 0, Tesla V100S-PCIE-32GB, 3 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:22.240, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:23.241, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1094 MiB, 29
2025/06/13 00:29:24.241, 0, Tesla V100S-PCIE-32GB, 2 %, 0 %, 32768 MiB, 762 MiB, 29
2025/06/13 00:29:25.242, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 29
2025/06/13 00:29:26.242, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 29
2025/06/13 00:29:27.243, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 29
2025/06/13 00:29:28.243, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 29
2025/06/13 00:29:29.244, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 29
2025/06/13 00:29:30.244, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 29
2025/06/13 00:29:31.245, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 29
2025/06/13 00:29:32.245, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 29
2025/06/13 00:29:33.246, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 29
2025/06/13 00:29:34.246, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 29
2025/06/13 00:29:35.247, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 28
2025/06/13 00:29:36.247, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 28
2025/06/13 00:29:37.248, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 29
2025/06/13 00:29:38.248, 0, Tesla V100S-PCIE-32GB, 0 %, 0 %, 32768 MiB, 1 MiB, 28
